Organization Name,Post_Money_Valuation_(in B),Date Joined,Country,City,Industry,Select Investors
SpaceX,350,12/1/12,United States,Hawthorne,Industrials,"Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures"
OpenAI,157,7/22/19,United States,San Francisco,Enterprise Tech,"Khosla Ventures, Thrive Capital, Sequoia Capital"
Stripe,70,1/23/14,United States,San Francisco,Financial Services,"Khosla Ventures, LowercaseCapital, capitalG"
Databricks,62,2/5/19,United States,San Francisco,Enterprise Tech,"Andreessen Horowitz, New Enterprise Associates, Battery Ventures"
xAI,50,5/26/24,United States,Burlingame,Enterprise Tech,"Sequoia Capital, Andreessen Horowitz, VY Capital"
Fanatics,31,6/6/12,United States,Jacksonville,Consumer & Retail,"SoftBank Group, Andreessen Horowitz, Temasek Holdings"
Epic Games,22.5,10/26/18,United States,Cary,Media & Entertainment,"Tencent Holdings, KKR, Smash Ventures"
Chime,25,3/5/19,United States,San Francisco,Financial Services,"Forerunner Ventures, Crosslink Capital, Homebrew"
CoreWeave,23,4/20/23,United States,Roseland,Enterprise Tech,Magnetar Capital
Miro,17.5,1/5/22,United States,San Francisco,Enterprise Tech,"Accel, AltaIR Capital, Technology Crossover Ventures"
Anthropic,16.1,2/3/23,United States,San Francisco,Enterprise Tech,Google
Discord,15,4/20/18,United States,San Francisco,Media & Entertainment,"Benchmark, Greylock Partners, Tencent Holdings"
Gopuff,15,10/8/20,United States,Philadelphia,Consumer & Retail,"Accel, SoftBank Group, Anthos Capital"
Ripple,15,12/20/19,United States,San Francisco,Financial Services,"IDG Capital, Venture51, Lightspeed Venture Partners"
Anduril,14,9/11/19,United States,Irvine,Industrials,"Andreessen Horowitz, Founders Fund, Revolution Ventures"
Scale,13.8,8/5/19,United States,San Francisco,Enterprise Tech,"Accel, Y Combinator, Index Ventures"
Plaid,13.5,12/11/18,United States,San Francisco,Financial Services,"New Enterprise Associates, Spar Capital, Index Ventures"
Rippling,13.5,8/4/20,United States,San Francisco,Enterprise Tech,"Initialized Capital, Y Combinator, Kleiner Perkins Caufield & Byers"
OpenSea,13.3,7/20/21,United States,New York,Media & Entertainment,"Andreessen Horowitz, Thirty Five Ventures, Sound Ventures"
Grammarly,13,10/10/19,United States,San Francisco,Media & Entertainment,"General Catalyst, Institutional Venture Partners, Breyer Capital"
Devoted Health,12.9,10/16/18,United States,Waltham,Healthcare & Life Sciences,"Andreessen Horowitz, F-Prime Capital, Venrock"
Faire,12.6,10/30/19,United States,San Francisco,Consumer & Retail,"Khosla Ventures, Forerunner Ventures, Sequoia Capital"
Brex,12.3,10/5/18,United States,San Francisco,Enterprise Tech,"DST Global, Ribbit Capital, Greenoaks Capital Management"
JUUL Labs,12,12/20/17,United States,San Francisco,Consumer & Retail,Tiger Global Management
GoodLeap,12,10/13/21,United States,Roseville,Financial Services,"New Enterprise Associates, BDT Capital Partners, Davidson Kempner Capital Management"
Deel,12,4/21/21,United States,San Francisco,Enterprise Tech,"Andreessen Horowitz, Spark Capital, Y Combinator"
Airtable,11.7,11/15/18,United States,San Francisco,Enterprise Tech,"Caffeinated Capital, CRV, Founder Collective"
Bolt,11,10/8/21,United States,San Francisco,Financial Services,"Activant Capital, Tribe Capital, General Atlantic"
Alchemy,10.2,10/28/21,United States,San Francisco,Enterprise Tech,"DFJ Growth Fund, Coatue Management, Addition"
Gusto,10,12/18/15,United States,San Francisco,Financial Services,"General Catalyst Partners, Google Ventures, Kleiner Perkins Caufield & Byers"
Talkdesk,10,10/3/18,United States,San Francisco,Enterprise Tech,"DJF, Salesforce Ventures, Storm Ventures"
Notion,10,4/1/20,United States,San Francisco,Enterprise Tech,"Index Ventures, Draft Ventures, Felicis Ventures"
Digital Currency Group,10,11/1/21,United States,New York,Financial Services,"Ribbit Capital, capitalG, Softbank Group"
ServiceTitan,9.5,11/14/18,United States,Glendale,Industrials,"Bessemer Venture Partners, ICONIQ Capital, Battery Ventures"
Navan,9.2,11/8/18,United States,Palo Alto,Enterprise Tech,"Andreessen Horowitz, Lightspeed Venture Partners, Zeev Ventures"
VAST Data,9.1,4/16/20,United States,New York,Enterprise Tech,"Norwest Venture Partners, Goldman Sachs, Dell Technologies Capital"
Perplexity,9,4/23/24,United States,San Francisco,Enterprise Tech,"New Enterprise Associates, Institutional Venture Partners, NVentures"
Tanium,9,3/31/15,United States,Kirkland,Enterprise Tech,"Andreessen Horowitz, Nor-Cal Invest, TPG Growth"
Niantic,9,11/24/17,United States,San Francisco,Media & Entertainment,"Nintendo, Google, Pokemon Company International, Spark Capital"
Nuro,8.6,2/11/19,United States,Mountain View,Industrials,"SoftBank Group, Greylock Partners, Gaorong Capital"
Chainalysis,8.6,11/23/20,United States,New York,Financial Services,"Addition, Benhcmark, Accel"
Tipalti,8.3,10/6/20,United States,San Mateo,Enterprise Tech,"01 Advisors, Zeev Ventures, Group 11"
Fireblocks,8,7/27/21,United States,New York,Financial Services,"Tenaya Capital, Coatue Management, Stripes Group"
Flexport,8,4/30/18,United States,San Francisco,Industrials,"Bloomberg Beta, Founders Fund, First Round Capital"
FalconX,8,8/10/21,United States,San Mateo,Financial Services,"Tiger Global Management, American Express Ventures, B Capital Group"
Caris,7.8,5/12/21,United States,Irving,Healthcare & Life Sciences,"Sixth Street Partners, OrbiMed Advisors, Highland Capital Management"
Ramp,7.7,3/29/21,United States,New York,Enterprise Tech,"D1 Capital Partners, Stripe, Coatue Management"
Netskope,7.5,11/13/18,United States,Santa Clara,Enterprise Tech,"Lightspeed Venture Partners, Social Capital, Accel"
Automattic,7.5,5/27/13,United States,San Francisco,Media & Entertainment,"Insight Venture Partners, Lowercase Capital, Polaris Partners"
Carta,7.4,5/6/19,United States,San Francisco,Financial Services,"Menlo Ventures, Spark Capital, Union Square Ventures"
Snyk,7.4,1/21/20,United States,Boston,Enterprise Tech,"BOLDstart Ventures, Google Ventures, Accel"
Gong,7.3,8/12/20,United States,Palo Alto,Enterprise Tech,"Norwest Venture Partners, Next World Capital, Wing Venture Capital"
Gemini,7.1,11/19/21,United States,New York,Financial Services,"Morgan Creek Digital, Marcy Venture Partners, 10T Fund"
