Organization Name,Post_Money_Valuation_(in B),Lead Investors Include,Country,Continent,Industry
SpaceX,350,Andreessen Horowitz,United States,North America,Industrials
OpenAI,300,SoftBank,United States,North America,Media & Entertainment
ByteDance,220,"Kohlberg Kravis Roberts Japan, Sequoia Capital",China,Asia,Enterprise Tech
Ant Group,150,"GIC, Temasek Holdings",China,Asia,Financial Services
Reliance Retail,100,Abu Dhabi Investment Authority,India,Asia,Consumer & Retail
Shein,66,"General Atlantic, HSG",China,Asia,Enterprise Tech
Stripe,65,"Andreessen Horowitz, Baillie Gifford",United States,North America,Enterprise Tech
Databricks,62,"Andreessen Horowitz, DST Global",United States,North America,Financial Services
Anthropic,62,Lightspeed Venture Partners,United States,North America,Enterprise Tech
Reliance Jio,58,Google,India,Asia,Consumer & Retail
xAI,50,X (formerly Twitter),United States,North America,Media & Entertainment
Revolut,45,Woodford Investment Management,United Kingdom,Europe,Financial Services
Waymo,45,Alphabet,United States,North America,Enterprise Tech
Checkout.com,40,Tiger Global Management,United Kingdom,Europe,Enterprise Tech
JUUL,38,Altria,United States,North America,Media & Entertainment
Canva,32,Stack Capital,Australia,Oceania,Enterprise Tech
Safe Superintelligence,32,Greenoaks,United States,North America,Consumer & Retail
Fanatics,31,Clearlake Capital Group,United States,North America,Industrials
Cruise,30,General Motors,United States,North America,Media & Entertainment
Alibaba Bendi Shenghuo Fuwu Gongsi,30,"Alibaba Group, SoftBank Vision Fund",China,Asia,Consumer & Retail
Chime,25,Sequoia Capital Global Equities,United States,North America,Consumer & Retail
Yangtze Memory Technologies,23,,China,Asia,Financial Services
Epic Games,23,The Walt Disney Company,United States,North America,Financial Services
BYJU'S,22,Qatar Investment Authority,India,Asia,Industrials
Envision Group,21,"GIC, HSG",China,Asia,Enterprise Tech
J&T Express,20,EWTP Arabia Capital,Indonesia,Asia,Financial Services
FNZ,20,"CPP Investments, Motive Partners",United Kingdom,Europe,Enterprise Tech
ChangXin Memory Technologies,19,,China,Asia,Media & Entertainment
JD Digits,18,"APOFCO, CICC",China,Asia,Enterprise Tech
Miro,18,ICONIQ Growth,United States,North America,Media & Entertainment
Xiaohongshu,17,"Temasek Holdings, Tencent",China,Asia,Healthcare & Life Sciences
Yuanfudao,17,YF Capital,China,Asia,Consumer & Retail
Rippling,17,Coatue,United States,North America,Enterprise Tech
Trendyol Group,17,"General Atlantic, SoftBank Vision Fund",Turkey,Europe,Consumer & Retail
Yinwang Smart Technology,16,Seres Group,China,Asia,Enterprise Tech
Discord,15,Dragoneer Investment Group,United States,North America,Enterprise Tech
Gopuff,15,Robert Iger,United States,North America,Financial Services
Genki Forest,15,Temasek Holdings,China,Asia,Consumer & Retail
CloudKitchens,15,Saudi Arabia's Public Investment Fund,United States,North America,Enterprise Tech
Bitmain,15,Crimson Ventures,China,Asia,Enterprise Tech
GAC Aion New Energy Automobile,14,,China,Asia,Consumer & Retail
Anduril Industries,14,"Founders Fund, Sands Capital Ventures",United States,North America,Industrials
Scale AI,14,Accel,United States,North America,Enterprise Tech
OpenSea,13,"Coatue, Paradigm",United States,North America,Financial Services
Grammarly,13,"Baillie Gifford, BlackRock",United States,North America,Financial Services
Devoted Health,13,"Fearless Ventures, GIC",United States,North America,Enterprise Tech
Celonis,13,Qatar Investment Authority,Germany,Europe,Industrials
Ramp,13,"Founders Fund, Khosla Ventures",United States,North America,Financial Services
Faire,13,Shopify,United States,North America,Consumer & Retail
Figma,13,Durable Capital Partners,United States,North America,Enterprise Tech
Infinite Reality,12,,United States,North America,Enterprise Tech
PhonePe,12,General Atlantic,India,Asia,Financial Services
GoodLeap,12,,United States,North America,Financial Services
Biosplice Therapeutics,12,"aMoon Fund, Eventide",United States,North America,Industrials
Xingsheng Youxuan,12,Ontario Teachers' Pension Plan,China,Asia,Consumer & Retail
Deel,12,Coatue,United States,North America,Financial Services
Northvolt,12,Caisse de Depot et Placement du Quebec,Sweden,Europe,Enterprise Tech
Airtable,12,XN,United States,North America,Enterprise Tech
Dunamu,12,IMM Investment,South Korea,Asia,Industrials
The Access Group,12,"Hg, TA Associates",United Kingdom,Europe,Enterprise Tech
Notion,10,"Coatue, Sequoia Capital",United States,North America,Enterprise Tech
Alchemy,10,"Lightspeed Venture Partners, Silver Lake",United States,North America,Media & Entertainment
Colossal Biosciences,10,"Mark Walter, Thomas Tull",United States,North America,Consumer & Retail
KuCoin,10,Susquehanna International Group,Seychelles,Africa,Financial Services
Digital Currency Group,10,OMERS Ventures,United States,North America,Industrials
Ripple,10,Tetragon Financial Group Limited,United States,North America,Industrials
Zuoyebang,10,"FountainVest Partners, Tiger Global Management",China,Asia,Financial Services
Chehaoduo,10,"H Capital Advance, HSG",China,Asia,Enterprise Tech
Talkdesk,10,Viking Global Investors,United States,North America,Financial Services
Thrasio,10,"Advent International, Silver Lake",United States,North America,Industrials
Lalamove,10,"Hillhouse Investment, HSG",Hong Kong,Asia,Enterprise Tech
Mahindra Electric Automobile,10,Temasek Holdings,India,Asia,Media & Entertainment
Gusto,10,Friends & Family Capital,United States,North America,Financial Services
Navan,9,Greenoaks,United States,North America,Industrials
Tata Passenger Electric Mobility,9,TPG Rise Climate Fund,India,Asia,Financial Services
N26,9,"Coatue, Third Point Ventures",Germany,Europe,Healthcare & Life Sciences
Tanium,9,Salesforce Ventures,United States,North America,Enterprise Tech
Yanolja,9,SoftBank Vision Fund,South Korea,Asia,Media & Entertainment
Perplexity,9,"IVP, Wayra",United States,North America,Enterprise Tech
VAST Data,9,Fidelity,United States,North America,Financial Services
Niantic,9,Coatue,United States,North America,Media & Entertainment
Anysphere,9,Thrive Capital,United States,North America,Financial Services
HeyTea,9,"Coatue, Hillhouse Investment",China,Asia,Enterprise Tech
Octopus Energy,9,CPP Investments,United Kingdom,Europe,Enterprise Tech
EV Co,9,,India,Asia,Financial Services
Ping An Healthcare Management,9,"SBI Group, SoftBank Vision Fund",China,Asia,Financial Services
Personio,8,Greenoaks,Germany,Europe,Financial Services
Bolt,8,"Fidelity, Sequoia Capital",Estonia,Europe,Healthcare & Life Sciences
Tipalti,8,G Squared,United States,North America,Healthcare & Life Sciences
The CrownX,8,"Alibaba Group, BPEA EQT",Vietnam,Asia,Enterprise Tech
DJI,8,Accel,China,Asia,Enterprise Tech
Flexport,8,Shopify,United States,North America,Enterprise Tech
Fireblocks,8,"D1 Capital Partners, Spark Capital",United States,North America,Consumer & Retail
THG Ingenuity,8,SoftBank,United Kingdom,Europe,Industrials
FalconX,8,"B Capital, GIC",United States,North America,Financial Services
StarkWare Industries,8,"Alameda Research, Coatue",Israel,Asia,Financial Services
Dream11,8,"Alpha Wave Global, D1 Capital Partners",India,Asia,Healthcare & Life Sciences
Caris Life Sciences,8,Braidwell,United States,North America,Financial Services
RingCentral Events,8,"Altimeter Capital, Arena Holdings",United Kingdom,Europe,Enterprise Tech
CALB,8,,China,Asia,Financial Services
AutoStore,8,,Norway,Europe,Enterprise Tech
Circle,8,Coinbase,United States,North America,Healthcare & Life Sciences
Leapmotor,8,Stellantis,China,Asia,Enterprise Tech
Jiedaibao,8,,China,Asia,Healthcare & Life Sciences
Dapper Labs,8,Coatue,Canada,North America,Enterprise Tech
Netskope,8,Morgan Stanley,United States,North America,Industrials
Flock Safety,8,Andreessen Horowitz,United States,North America,Healthcare & Life Sciences
Snyk,7,ServiceNow,United States,North America,Industrials
Carta,7,Silver Lake,United States,North America,Financial Services
Brex,7,Tiger Global Management,,,Enterprise Tech
Kakao Japan,7,Anchor Equity Partners,Japan,Asia,Enterprise Tech
Gong,7,Franklin Templeton,United States,North America,Consumer & Retail
Blockchain.com,7,Kingsway Capital,United Kingdom,Europe,Financial Services
ConsenSys,7,ParaFi Capital,United States,North America,Enterprise Tech
Ro,7,ShawSpring Partners,United States,North America,Consumer & Retail
Meicai,7,"Hillhouse Investment, Shunwei Capital",China,Asia,Consumer & Retail
Constellation Automotive Group,7,,United Kingdom,Europe,Consumer & Retail
Attentive,7,Coatue,United States,North America,Industrials
Cohesity,7,The Carlyle Group,United States,North America,Enterprise Tech
The Boring Company,7,"Sequoia Capital, Vy Capital",United States,North America,Enterprise Tech
Wonder,7,New Enterprise Associates,United States,North America,Enterprise Tech
NYDIG,7,WestCap,United States,North America,Enterprise Tech
